0.749,-0.140,0.365,-0.045,0.662,0.140,0.323,-0.151,0.155,-0.047,0.241,-0.228,0.204
-0.140,0.818,-0.271,-0.330,-0.572,0.384,-0.263,-0.180,-0.431,0.140,0.239,0.180,-0.100
0.365,-0.271,1.514,-0.776,0.875,0.023,-0.198,0.715,-0.451,-0.526,0.085,-0.226,0.075
-0.045,-0.330,-0.776,1.951,-0.118,-0.474,0.695,-0.069,0.020,-0.253,-0.355,-0.285,0.639
0.662,-0.572,0.875,-0.118,2.845,-1.078,0.542,0.285,-0.732,0.045,0.015,-0.974,0.341
0.140,0.384,0.023,-0.474,-1.078,3.917,-1.222,-0.014,0.258,-0.747,1.246,-0.932,-0.030
0.323,-0.263,-0.198,0.695,0.542,-1.222,4.135,-1.058,-0.059,0.762,-1.115,1.313,0.054
-0.151,-0.180,0.715,-0.069,0.285,-0.014,-1.058,2.099,-0.235,-1.094,0.426,-0.289,-0.169
0.155,-0.431,-0.451,0.020,-0.732,0.258,-0.059,-0.235,3.919,-1.053,0.461,0.337,-0.187
-0.047,0.140,-0.526,-0.253,0.045,-0.747,0.762,-1.094,-1.053,5.891,-1.303,-0.034,-0.441
0.241,0.239,0.085,-0.355,0.015,1.246,-1.115,0.426,0.461,-1.303,5.283,-0.893,-0.517
-0.228,0.180,-0.226,-0.285,-0.974,-0.932,1.313,-0.289,0.337,-0.034,-0.893,5.327,-1.094
0.204,-0.100,0.075,0.639,0.341,-0.030,0.054,-0.169,-0.187,-0.441,-0.517,-1.094,4.610
