0.288,0.147,0.029,0.181,0.145,0.292,0.203,-0.078,0.020,0.127,0.508,-0.039,0.194
0.147,0.327,0.136,-0.091,0.173,0.114,0.325,0.008,-0.214,0.158,0.249,0.197,0.122
0.029,0.136,1.057,-0.728,-0.274,0.568,-0.238,0.330,-0.381,-0.593,0.170,0.274,0.206
0.181,-0.091,-0.728,1.553,0.142,-0.076,0.189,0.049,0.285,-0.284,-0.099,-0.452,0.511
0.145,0.173,-0.274,0.142,2.162,-1.091,-0.238,-0.157,-0.369,0.045,0.139,-0.827,0.062
0.292,0.114,0.568,-0.076,-1.091,2.977,-0.371,-0.188,-0.339,-0.410,0.839,-0.121,0.130
0.203,0.325,-0.238,0.189,-0.238,-0.371,3.707,-0.985,-0.505,0.279,-0.950,1.043,-0.032
-0.078,0.008,0.330,0.049,-0.157,-0.188,-0.985,2.618,-0.521,-0.578,0.342,-0.137,0.000
0.020,-0.214,-0.381,0.285,-0.369,-0.339,-0.505,-0.521,4.187,-1.306,0.868,0.208,-0.443
0.127,0.158,-0.593,-0.284,0.045,-0.410,0.279,-0.578,-1.306,5.361,-0.797,0.286,-0.900
0.508,0.249,0.170,-0.099,0.139,0.839,-0.950,0.342,0.868,-0.797,4.371,-1.444,-0.281
-0.039,0.197,0.274,-0.452,-0.827,-0.121,1.043,-0.137,0.208,0.286,-1.444,4.622,-0.537
0.194,0.122,0.206,0.511,0.062,0.130,-0.032,0.000,-0.443,-0.900,-0.281,-0.537,4.395
