0.420,-0.032,0.163,0.010,0.439,0.227,0.376,-0.066,0.213,0.094,0.623,0.025,0.057
-0.032,0.545,-0.127,-0.141,-0.236,0.328,0.039,-0.168,-0.392,0.335,0.210,-0.066,-0.114
0.163,-0.127,1.098,-0.476,0.308,0.205,0.059,0.624,-0.392,-0.415,0.225,-0.281,0.169
0.010,-0.141,-0.476,1.497,-0.197,-0.392,0.274,0.205,0.133,-0.456,-0.090,0.000,-0.012
0.439,-0.236,0.308,-0.197,2.082,-0.604,0.101,-0.103,-0.242,0.180,0.407,-0.605,0.348
0.227,0.328,0.205,-0.392,-0.604,3.037,-0.212,-0.558,-0.587,-0.169,0.914,-0.397,-0.272
0.376,0.039,0.059,0.274,0.101,-0.212,3.264,-0.355,0.167,-0.104,-0.200,0.760,-0.261
-0.066,-0.168,0.624,0.205,-0.103,-0.558,-0.355,1.963,0.043,-0.909,0.294,-0.050,-0.067
0.213,-0.392,-0.392,0.133,-0.242,-0.587,0.167,0.043,3.501,-0.817,0.609,0.076,-0.138
0.094,0.335,-0.415,-0.456,0.180,-0.169,-0.104,-0.909,-0.817,4.170,-0.878,-0.386,-0.153
0.623,0.210,0.225,-0.090,0.407,0.914,-0.200,0.294,0.609,-0.878,4.700,-0.889,-0.766
0.025,-0.066,-0.281,0.000,-0.605,-0.397,0.760,-0.050,0.076,-0.386,-0.889,4.824,-0.940
0.057,-0.114,0.169,-0.012,0.348,-0.272,-0.261,-0.067,-0.138,-0.153,-0.766,-0.940,4.367
