0.474,-0.030,0.246,0.166,0.505,0.184,0.320,-0.027,-0.123,0.089,0.702,-0.103,0.229
-0.030,0.586,-0.205,0.049,-0.262,0.060,0.159,0.032,-0.427,0.091,0.349,0.237,-0.034
0.246,-0.205,1.435,-0.737,0.131,0.426,-0.077,0.394,-0.424,-0.542,0.056,0.367,0.204
0.166,0.049,-0.737,1.792,0.167,-0.047,0.272,-0.233,-0.568,-0.109,-0.283,-0.648,0.565
0.505,-0.262,0.131,0.167,3.006,-1.158,0.473,0.183,-0.317,-0.214,0.174,-1.105,-0.038
0.184,0.060,0.426,-0.047,-1.158,2.990,-0.613,0.060,0.087,-0.832,1.152,-0.353,-0.379
0.320,0.159,-0.077,0.272,0.473,-0.613,3.100,-0.754,0.111,0.144,-0.779,1.162,0.183
-0.027,0.032,0.394,-0.233,0.183,0.060,-0.754,2.770,-0.273,-0.840,0.116,-0.258,-0.000
-0.123,-0.427,-0.424,-0.568,-0.317,0.087,0.111,-0.273,4.530,-1.076,0.766,-0.000,-1.118
0.089,0.091,-0.542,-0.109,-0.214,-0.832,0.144,-0.840,-1.076,4.888,-0.000,0.124,-0.810
0.702,0.349,0.056,-0.283,0.174,1.152,-0.779,0.116,0.766,-0.000,5.350,-0.742,-0.996
-0.103,0.237,0.367,-0.648,-1.105,-0.353,1.162,-0.258,-0.000,0.124,-0.742,4.800,-0.175
0.229,-0.034,0.204,0.565,-0.038,-0.379,0.183,-0.000,-1.118,-0.810,-0.996,-0.175,4.670
